NR, 1, 2, 3, 4, 5, 6, 7, 8
164,3,9,35,4,41,30,2,47
165,2,14,35,4,41,31,1,53
166,2,17,35,4,41,31,1,53
167,2,15,34,4,41,30,1,53
168,2,13,33,5,41,29,1,53
169,2,15,33,5,41,28,1,53
170,2,15,33,6,42,26,1,53
171,2,8,33,6,42,26,2,52
172,2,10,33,6,42,26,3,52
173,2,12,33,6,42,25,3,51
174,2,12,34,6,42,26,3,51
175,3,12,33,5,42,27,2,50
176,4,13,32,5,42,27,2,50
177,4,17,32,5,42,28,3,49
178,4,14,32,5,42,28,3,48
179,3,11,33,5,42,26,2,48
180,2,12,34,5,42,25,2,48
181,2,10,33,6,42,25,2,49
182,2,14,33,5,42,25,2,48
183,2,19,33,5,42,25,2,48
184,2,13,32,6,41,25,2,48
185,2,9,32,7,40,24,3,48
186,3,8,32,7,40,25,3,48
187,2,9,32,7,41,25,4,48
188,2,9,32,6,41,26,5,49
189,2,12,32,6,41,26,4,48
190,2,17,31,6,41,25,4,48
191,2,16,30,6,40,25,3,49
192,2,15,30,6,41,25,3,49
193,3,11,30,6,40,25,3,49
194,2,12,31,6,41,25,2,50
195,2,11,30,6,41,25,2,50
196,2,19,30,6,41,26,2,50
197,2,21,28,6,41,25,1,51
198,2,22,26,6,41,26,1,50
199,2,21,25,6,40,25,1,50
200,2,17,25,6,40,25,1,51
1,10,60,11,3,30,30,3,50
2,20,66,10,2,29,29,2,50
3,20,29,10,3,30,30,2,50
4,21,11,11,3,30,29,2,50
5,20,12,12,3,30,29,2,50
6,20,7,13,3,29,29,2,50
7,20,9,14,3,30,29,2,50
8,20,9,15,3,30,29,2,50
9,20,8,16,3,29,30,2,51
10,19,11,17,3,29,30,2,51
11,18,9,18,3,30,30,2,51
12,17,10,19,3,30,30,2,51
13,16,4,20,3,30,30,2,51
14,16,6,21,3,30,29,2,51
15,16,8,21,3,30,29,2,51
16,16,6,22,3,30,28,2,51
17,16,5,23,3,31,28,2,51
18,16,5,24,3,31,28,2,51
19,16,3,25,3,31,28,2,51
20,16,4,26,3,30,28,2,51
21,16,4,27,3,31,28,2,51
22,16,6,27,3,31,28,2,51
23,16,9,27,3,30,28,3,51
24,16,11,28,3,30,28,3,51
25,15,10,28,3,30,28,3,51
26,14,10,28,3,30,27,3,50
27,13,12,28,3,30,28,2,50
28,12,13,27,3,30,27,2,50
29,16,19,27,3,30,27,2,51
30,16,20,28,3,30,27,2,52
31,16,19,26,4,30,28,2,52
32,18,16,26,4,30,28,2,52
33,18,16,26,4,31,29,2,53
34,18,13,27,4,31,29,2,52
35,18,11,27,4,31,28,2,52
36,18,9,28,4,30,28,2,52
37,18,8,28,5,31,28,2,52
38,18,12,27,5,31,28,2,52
39,18,10,27,5,31,28,2,52
40,18,6,28,5,32,27,2,51
41,17,3,29,5,33,28,1,51
42,16,2,30,5,34,28,1,51
43,16,4,31,5,34,27,1,51
44,16,3,31,5,34,27,1,51
45,16,6,31,5,34,27,2,51
46,16,11,31,5,34,27,2,51
47,16,9,31,5,35,27,2,52
48,19,12,31,5,35,28,2,52
49,18,14,30,5,35,28,2,52
50,18,14,30,5,35,28,2,52
51,18,16,29,5,35,27,2,52
52,17,18,30,5,35,27,3,52
53,16,16,30,5,35,26,3,53
54,15,12,30,5,35,26,2,53
55,14,12,31,5,35,26,2,54
56,13,6,32,7,36,26,2,54
57,12,7,31,7,35,26,2,54
58,12,11,30,7,35,26,2,53
59,13,14,30,7,35,26,2,54
60,13,11,29,7,35,25,2,54
61,12,17,27,7,35,25,1,54
62,12,22,26,7,35,24,1,54
63,12,22,26,7,35,24,1,54
64,12,10,27,7,35,24,1,54
65,13,5,27,7,37,24,1,55
66,12,4,27,7,36,23,1,54
67,14,2,28,7,34,24,1,54
68,14,4,29,7,34,24,1,54
69,14,7,29,7,34,24,1,55
70,14,4,29,7,35,24,2,55
71,15,2,30,7,35,25,2,54
72,14,3,31,7,35,25,2,55
73,14,2,32,7,35,25,2,55
74,14,3,33,7,35,25,2,55
75,14,3,34,7,35,25,2,55
76,14,2,35,7,35,25,2,55
77,14,4,36,7,35,25,2,55
78,14,4,37,7,35,25,2,55
79,14,3,37,7,35,25,2,56
80,14,4,38,7,35,25,2,56
81,14,5,39,7,35,25,2,56
82,14,5,39,8,35,24,2,56
83,14,6,40,8,35,24,2,55
84,14,7,40,8,35,24,2,55
85,14,4,40,8,35,24,2,55
86,14,6,40,8,35,24,2,55
87,14,10,40,8,35,24,3,56
88,14,5,39,7,35,24,3,56
89,14,4,40,7,35,23,3,56
90,14,4,40,7,35,24,3,56
91,11,8,40,7,35,24,3,55
92,10,11,39,7,35,24,2,55
93,10,11,38,7,35,24,2,55
94,10,14,37,7,35,24,2,56
95,10,12,36,7,34,24,2,56
96,8,9,36,7,34,24,2,55
97,8,9,35,7,34,24,2,55
98,8,9,35,7,34,24,2,55
99,8,9,34,7,34,24,2,54
100,10,8,35,6,34,24,2,52
101,9,4,35,7,35,25,2,51
102,7,3,37,7,36,25,2,49
103,6,3,36,6,36,25,1,49
104,6,4,36,6,35,26,2,49
105,5,5,36,6,35,25,2,50
